@RELATION stars


@ATTRIBUTE trial {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64}
@ATTRIBUTE targettype {star}
@ATTRIBUTE contextsize numeric
@ATTRIBUTE sametype numeric
@ATTRIBUTE vpos {centre,left,right}
@ATTRIBUTE samevpos numeric
@ATTRIBUTE hpos {left,right}
@ATTRIBUTE samehpos numeric
@ATTRIBUTE sametypelandmark numeric
@ATTRIBUTE abs {0,1}
@ATTRIBUTE length numeric
@ATTRIBUTE others {0,1}
@ATTRIBUTE position {0,1}
@ATTRIBUTE next {0,1}
@ATTRIBUTE left {0,1}
@ATTRIBUTE right {0,1}
@ATTRIBUTE referencetype {ambiguous,fully-spec,no-landmark,under-spec}
@ATTRIBUTE minimal {yes,no}
@DATA
54,star,10,3,centre,2,left,3,4,1,2,0,0,0,0,1,under-spec,yes
54,star,12,3,centre,3,right,3,6,1,3,0,0,1,0,0,fully-spec,no
54,star,8,3,centre,3,left,3,2,0,4,0,1,1,0,0,fully-spec,no
54,star,10,3,centre,3,right,3,4,0,2,0,0,1,0,0,under-spec,yes
54,star,12,3,centre,6,left,8,6,0,3,0,0,1,0,0,fully-spec,no
55,star,8,3,centre,3,right,3,2,1,3,0,0,1,0,0,fully-spec,no
55,star,10,3,centre,2,left,3,4,1,3,0,0,1,0,0,fully-spec,no
55,star,12,3,centre,3,right,3,6,1,3,0,0,1,0,0,fully-spec,no
55,star,8,3,centre,3,left,3,2,0,4,0,1,1,0,0,fully-spec,no
55,star,10,3,centre,3,right,3,4,0,4,0,1,1,0,0,fully-spec,no
55,star,12,3,centre,6,left,8,6,0,4,0,1,1,0,0,fully-spec,no
56,star,8,3,centre,3,right,3,2,1,3,0,0,0,1,0,fully-spec,no
56,star,10,3,centre,2,left,3,4,1,3,0,0,0,0,1,fully-spec,no
56,star,12,3,centre,3,right,3,6,1,3,0,0,0,1,0,fully-spec,no
56,star,8,3,centre,3,left,3,2,0,2,0,0,0,0,1,under-spec,yes
56,star,10,3,centre,3,right,3,4,0,2,0,0,0,1,0,under-spec,yes
56,star,12,3,centre,6,left,8,6,0,4,0,0,0,1,0,under-spec,no
57,star,8,3,centre,3,right,3,2,1,3,0,0,0,1,0,fully-spec,no
57,star,10,3,centre,2,left,3,4,1,3,0,0,0,0,1,fully-spec,no
57,star,12,3,centre,3,right,3,6,1,3,0,0,0,1,0,fully-spec,no
57,star,8,3,centre,3,left,3,2,0,3,0,0,0,0,1,under-spec,no
57,star,10,3,centre,3,right,3,4,0,3,0,0,0,1,0,under-spec,no
57,star,12,3,centre,6,left,8,6,0,3,0,0,0,1,0,under-spec,no
58,star,8,3,centre,3,right,3,2,1,3,0,0,1,0,0,fully-spec,no
58,star,10,3,centre,2,left,3,4,1,3,0,0,1,0,0,fully-spec,no
58,star,12,3,centre,3,right,3,6,1,3,0,0,1,0,0,fully-spec,no
58,star,8,3,centre,3,left,3,2,0,2,0,0,1,0,0,under-spec,yes
58,star,10,3,centre,3,right,3,4,0,2,0,0,1,0,0,under-spec,yes
58,star,12,3,centre,6,left,8,6,0,2,0,0,0,1,0,under-spec,yes
59,star,8,3,centre,3,right,3,2,1,5,0,0,0,1,0,fully-spec,no
59,star,10,3,centre,2,left,3,4,1,3,0,0,0,0,1,fully-spec,no
59,star,12,3,centre,3,right,3,6,1,3,0,0,0,1,0,fully-spec,no
59,star,8,3,centre,3,left,3,2,0,5,0,0,0,0,1,under-spec,no
59,star,10,3,centre,3,right,3,4,0,5,0,0,0,1,0,under-spec,no
59,star,12,3,centre,6,left,8,6,0,5,0,0,0,1,0,under-spec,no
60,star,8,3,centre,3,right,3,2,1,3,0,0,0,1,0,fully-spec,no
60,star,10,3,centre,2,left,3,4,1,3,0,0,0,0,1,fully-spec,no
60,star,12,3,centre,3,right,3,6,1,3,0,0,1,0,0,fully-spec,no
60,star,8,3,centre,3,left,3,2,0,6,0,1,0,0,1,fully-spec,no
60,star,10,3,centre,3,right,3,4,0,4,0,0,0,1,0,under-spec,no
60,star,12,3,centre,6,left,8,6,0,4,0,0,1,0,0,under-spec,no
61,star,8,3,centre,3,right,3,2,1,3,0,0,0,1,0,fully-spec,no
61,star,10,3,centre,2,left,3,4,1,3,0,0,0,0,1,fully-spec,no
61,star,12,3,centre,3,right,3,6,1,3,0,0,0,1,0,fully-spec,no
61,star,8,3,centre,3,left,3,2,0,2,0,0,0,0,1,under-spec,yes
61,star,10,3,centre,3,right,3,4,0,2,0,0,0,1,0,under-spec,yes
61,star,12,3,centre,6,left,8,6,0,2,0,0,0,1,0,under-spec,yes
62,star,8,3,centre,3,right,3,2,1,2,0,0,1,0,0,under-spec,yes
62,star,10,3,centre,2,left,3,4,1,2,0,0,0,0,1,under-spec,yes
62,star,12,3,centre,3,right,3,6,1,3,0,0,1,0,0,fully-spec,no
62,star,8,3,centre,3,left,3,2,0,2,0,0,0,0,1,under-spec,yes
62,star,10,3,centre,3,right,3,4,0,2,0,0,0,1,0,under-spec,yes
62,star,12,3,centre,6,left,8,6,0,2,0,0,0,1,0,under-spec,yes
63,star,8,3,centre,3,right,3,2,1,3,0,0,0,1,0,fully-spec,no
63,star,10,3,centre,2,left,3,4,1,3,0,0,0,0,1,fully-spec,no
63,star,12,3,centre,3,right,3,6,1,3,0,0,0,1,0,fully-spec,no
63,star,8,3,centre,3,left,3,2,0,3,0,0,0,0,1,fully-spec,no
63,star,10,3,centre,3,right,3,4,0,3,0,1,0,1,0,fully-spec,no
63,star,12,3,centre,6,left,8,6,0,3,0,1,0,1,0,fully-spec,no
64,star,8,3,centre,3,right,3,2,1,3,0,0,1,0,0,fully-spec,no
64,star,10,3,centre,2,left,3,4,1,3,0,0,1,0,0,fully-spec,no
64,star,12,3,centre,3,right,3,6,1,3,0,0,1,0,0,fully-spec,no
64,star,8,3,centre,3,left,3,2,0,3,0,0,0,0,1,under-spec,no
64,star,10,3,centre,3,right,3,4,0,3,0,0,0,1,0,under-spec,no
64,star,12,3,centre,6,left,8,6,0,3,0,0,0,1,0,under-spec,no
